slug,title,asset_count,evidence_terms,representative_assets,reason_not_promoted,owner_decision,owner_notes
bullet,Bullet Coloring Pages,8,bullet,mandala-geometry-patterns__mandala-geometry-patterns-japan-shinkansen-bullet-train__e666274bbd; mandala-geometry-patterns__mandala-geometry-patterns-japan-shinkansen-bullet-train-mountain-scene__854e435577; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cartoon-smiling-bullet-trai__76b0f4b4c3; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-at-__ab0e0253c0; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-cro__130d98c162; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-lea__a45395998c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-on-__5e359d2a25; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-japanese-shinkansen-bullet-__6bb268158c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-ford,Car Ford Coloring Pages,8,car ford,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-ford__cf1e761eb7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ford-bronco__1156753432; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ford-f150-lightning__620124ef9c; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ford-f150-raptor__06b2bed764; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ford-gt-supercar__4c55ef5237; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ford-gt-supercar-car__6531d8dbd1; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ford-mustang__abec4dd39b; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ford-mustang-car__09d536064f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-lamborghini,Car Lamborghini Coloring Pages,8,car lamborghini,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-lamborghini__5c3422c4f4; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-lamborghini-aventador__95ae8f047a; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-lamborghini-sports-car__f5e4def2b4; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-gallardo__f662c88db4; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-huracan__2c21ca84cc; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-huracane__1cd1c62e10; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-revuelto__972d6d6a24; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-sian__4124ded437,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-toyota,Car Toyota Coloring Pages,8,car toyota,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-toyota__7f992f500d; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-toyota-supra__d87bfd042b; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-4runner__e92ebebbe6; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-celica-classic__f3e9dadec5; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-gr86__ebf724f458; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-land-cruiser__7ea39a8c59; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-prius-hybrid__f49de4b908; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-prius-hybrid-car__90fb7c9c7c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
classic-steam,Classic Steam Coloring Pages,8,classic steam,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-front-__cce8c2a3b7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-side-v__45c322a426; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-with-s__55eebd8c6c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-at-smal__937925e879; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-in-wint__a4f8bc4dbb; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-puffing__7e878a4bef; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-di__77162dcc9f; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-sl__01e70c6de0,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
crossing,Crossing Coloring Pages,8,crossing,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-desert-safari-train-crossin__fe5b536bcc; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-excursion-train-crossing-hi__00002da099; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-high-speed-bullet-train-cro__130d98c162; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-intercity-passenger-train-c__2b48d7893e; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-railway-crossing-with-flash__2329f180b7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-railway-crossing-with-warni__bc802e98d3; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-tram-streetcar-crossing-bri__e8e3c0e2c8; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-steam-train-crossin__d38d0feae8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
engine,Engine Coloring Pages,8,engine,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cartoon-smiling-diesel-engi__d5fbd7536b; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cartoon-smiling-steam-engin__18ac6c6422; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-front-__cce8c2a3b7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-side-v__45c322a426; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-with-s__55eebd8c6c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-locomotive-engine-with-big-__0db286466b; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-locomotive-engine-with-cowc__ea5d493702; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-small-shunting-engine-in-ra__9d08dccb65,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
lamborghini,Lamborghini Coloring Pages,8,lamborghini,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-lamborghini__5c3422c4f4; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-lamborghini-aventador__95ae8f047a; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-lamborghini-sports-car__f5e4def2b4; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-gallardo__f662c88db4; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-huracan__2c21ca84cc; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-huracane__1cd1c62e10; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-revuelto__972d6d6a24; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-lamborghini-sian__4124ded437,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
locomotive-classic,Locomotive Classic Coloring Pages,8,locomotive classic,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-front-__cce8c2a3b7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-side-v__45c322a426; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-with-s__55eebd8c6c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-at-smal__937925e879; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-in-wint__a4f8bc4dbb; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-puffing__7e878a4bef; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-di__77162dcc9f; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-sl__01e70c6de0,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
locomotive-classic-steam,Locomotive Classic Steam Coloring Pages,8,locomotive classic steam,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-front-__cce8c2a3b7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-side-v__45c322a426; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-with-s__55eebd8c6c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-at-smal__937925e879; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-in-wint__a4f8bc4dbb; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-puffing__7e878a4bef; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-di__77162dcc9f; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-sl__01e70c6de0,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
locomotive-steam,Locomotive Steam Coloring Pages,8,locomotive steam,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-at-old-town-sta__0e1a4d8bf2; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-blowing-whistle__f01d80e633; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-on-coastal-rout__e2f4dddeaa; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-on-forest-trest__2af0e9fe71; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-open-air-c__ebd043ca33; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-open-air-c__54a35e5c29; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-open-coal-__e8ec35f3aa; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-snowplow-f__346794c3f2,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
model,Model Coloring Pages,8,model,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-tesla-model-s__d5ac80ecac; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-planes-rc-model-plane__45c7dda4f7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-ford-model-t__1e85ab8567; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-ford-model-t-car__df0f54a273; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-future-concept-model-car__7aa745ed0a; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-tesla-model-3__f789385ff7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-tesla-model-x__755c819002; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-tesla-model-y__45d2095f0d,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
ninja,Ninja Coloring Pages,8,ninja,anime-girls__anime-girl-cyber-ninja-assault__05c3bc10cf; anime-girls__anime-girl-ninja__0e887fdbb2; anime-girls__anime-girl-ninja-claws-leaping-from-tree__b513247cef; anime-girls__anime-girl-ninja-teleporting-to-monster-battle-shounin__562cbae255; mandala-geometry-patterns__mandala-geometry-patterns-japan-ninja-silhouette-on-rooftop__4aadc94cd2; mandala-geometry-patterns__mandala-geometry-patterns-japan-ninja-smoke-escape__761d405ded; mandala-geometry-patterns__mandala-geometry-patterns-japan-ninja-throwing-shuriken__d806e7af38; mandala-geometry-patterns__mandala-geometry-patterns-japan-ninja-with-shuriken__eb445ca094,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
samurai,Samurai Coloring Pages,8,samurai,anime-girls__anime-girl-samurai-armor__099217943f; anime-girls__anime-girl-samurai-walking-across-rainy-battlefield__fdcba462ab; chibi__chibi-samurai__3d8fc67e17; chibi__chibi-samurai-pegasus__9b4b5ef8bb; mandala-geometry-patterns__mandala-geometry-patterns-japan-samurai-armor-display__c237b98947; mandala-geometry-patterns__mandala-geometry-patterns-japan-samurai-on-horseback__9d183b57bc; mandala-geometry-patterns__mandala-geometry-patterns-japan-samurai-warrior__047f3e1a20; mandala-geometry-patterns__mandala-geometry-patterns-plushie-unicorn-samurai__652f6a5696,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
toyota,Toyota Coloring Pages,8,toyota,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-toyota__7f992f500d; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-toyota-supra__d87bfd042b; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-4runner__e92ebebbe6; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-celica-classic__f3e9dadec5; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-gr86__ebf724f458; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-land-cruiser__7ea39a8c59; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-prius-hybrid__f49de4b908; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-toyota-prius-hybrid-car__90fb7c9c7c,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
train-locomotive-classic,Train Locomotive Classic Coloring Pages,8,train locomotive classic,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-front-__cce8c2a3b7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-side-v__45c322a426; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-engine-with-s__55eebd8c6c; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-at-smal__937925e879; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-in-wint__a4f8bc4dbb; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-puffing__7e878a4bef; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-di__77162dcc9f; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-classic-steam-train-with-sl__01e70c6de0,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
train-locomotive-steam,Train Locomotive Steam Coloring Pages,8,train locomotive steam,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-at-old-town-sta__0e1a4d8bf2; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-blowing-whistle__f01d80e633; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-on-coastal-rout__e2f4dddeaa; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-on-forest-trest__2af0e9fe71; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-open-air-c__ebd043ca33; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-open-air-c__54a35e5c29; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-open-coal-__e8ec35f3aa; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-steam-train-with-snowplow-f__346794c3f2,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bay,Bay Coloring Pages,7,bay,chibi__chibi-animals-pets-dogs-chesapeake-bay-retriever__96effd4b27; dogs__dogs-chesapeake-bay-retriever__2291012e65; gardening__gardening-mushroom-bay-bolete__4ee30b4305; mandala-geometry-patterns__mandala-geometry-patterns-dogs-chesapeake-bay-retriever__0836e50620; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-bay-bolete__ffc787395a; world-landmarks__world-landmarks-ha-long-bay-vietnam__305f7f213e; world-landmarks__world-landmarks-marina-bay-sands-singapore__6f7eb78a34,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bear-holiday-christmas,Bear Holiday Christmas Coloring Pages,7,bear holiday christmas,holiday__holiday-christmas-plushie-koala-bear-family__0cd33925f7; holiday__holiday-christmas-plushie-panda-bear__d912dad195; holiday__holiday-christmas-plushie-panda-bear-family__f87ac7472d; holiday__holiday-christmas-plushie-polar-bear__6baf58d2ab; holiday__holiday-christmas-plushie-polar-bear-family__3a4b9b469b; holiday__holiday-christmas-plushie-teddy-bear__6f9b320545; holiday__holiday-christmas-plushie-teddy-bear-family__4fad399be7,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
birthday-party,Birthday Party Coloring Pages,7,birthday party,anime-girls__anime-girl-bunny-birthday-party__4a4860c7ac; holiday__holiday-birthday-dinosaur-birthday-party__b28ce22af6; holiday__holiday-birthday-mermaid-birthday-party__48db16584a; holiday__holiday-birthday-pirate-birthday-party__d475606882; holiday__holiday-birthday-princess-birthday-party__e90de00d84; holiday__holiday-birthday-superhero-birthday-party__f895bca201; holiday__holiday-birthday-unicorn-birthday-party__508e70c49e,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bmw,Bmw Coloring Pages,7,bmw,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-bmw__22280a8843; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-bmw-i8-hybrid__3b67a66a3f; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-bmw-ix__0b7c0979bb; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-bmw-m3__9dc2591155; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-bmw-x5__019ef1608a; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-bmw-x6__a084574bf6; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-bmw-xm__bcb579b2e4,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bobcat,Bobcat Coloring Pages,7,bobcat,chibi__chibi-plushie-bobcat__485d33e8dc; holiday__holiday-birthday-celebration-plushie-bobcat-family__c08cbd11e1; holiday__holiday-christmas-plushie-bobcat-family__aa2d068887; holiday__holiday-halloween-costume-plushie-bobcat-family__36898ee647; mandala-geometry-patterns__mandala-geometry-patterns-plushie-bobcat__8807151712; plushie__plushie-bobcat__5e2d192d27; plushie__plushie-bobcat-family__4532317f83,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
