"proposed_slug","proposed_title","asset_count","strongest_matching_assets","likely_parent_hubs","reason_for_manual_review","overlap_score","seo_intent","risk","owner_decision","owner_notes"
"plushie-owls","Plushie Owls Coloring Pages","9","Chibi Plushie Owl; Holiday Birthday Celebration Plushie Owl Family; Holiday Christmas Plushie Owl Family; Holiday Halloween Costume Plushie Owl Family; Holiday Halloween Plushie Owl Family; Mandala Geometry Patterns Plushie Owl Animals; Mandala Geometry Patterns Plushie Owl; Plushie Owl Family","birds; plushies","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Plushie Owls printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"chibi-bears","Chibi Bears Coloring Pages","8","Anime Girl Chibi Bear Summon; Chibi Bear; Chibi Cave Bear; Chibi Plushie Kawaii Polar Bear; Chibi Plushie Koala Bear; Chibi Plushie Panda Bear; Chibi Plushie Polar Bear; Chibi Plushie Teddy Bear","animals; chibi; easy; for-kids","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Chibi Bears printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"plushie-dolphins","Plushie Dolphins Coloring Pages","8","Chibi Plushie Dolphin; Holiday Birthday Celebration Plushie Dolphin Family; Holiday Christmas Plushie Dolphin Family; Holiday Halloween Costume Plushie Dolphin Family; Mandala Geometry Patterns Plushie Dolphin Animals; Mandala Geometry Patterns Plushie Dolphin; Plushie Dolphin Family; Plushie Dolphin","sea-life; animals; plushies","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Plushie Dolphins printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"plushie-eagles","Plushie Eagles Coloring Pages","8","Chibi Plushie Eagle; Holiday Birthday Celebration Plushie Eagle Family; Holiday Christmas Plushie Eagle Family; Holiday Halloween Costume Plushie Eagle Family; Mandala Geometry Patterns Plushie Eagle Be Creative; Mandala Geometry Patterns Plushie Eagle; Plushie Eagle Family; Plushie Eagle","birds; plushies","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Plushie Eagles printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"plushie-robots","Plushie Robots Coloring Pages","8","Chibi Plushie Robot; Holiday Birthday Celebration Plushie Robot Family; Holiday Christmas Plushie Robot Family; Holiday Halloween Costume Plushie Robot Family; Mandala Geometry Patterns Plushie Robot Animal; Mandala Geometry Patterns Plushie Robot; Plushie Robot Family; Plushie Robot","fantasy; plushies","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Plushie Robots printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"chibi-castles","Chibi Castles Coloring Pages","7","Chibi Castle; Chibi Dungeon Castle Gate Defender; Chibi Dungeon Castle Gate Guardian; Chibi Holiday Halloween Creepy Castle With Torch Lit Windows Coloring Page; Chibi Holiday Halloween Dracula Flying As Bat Over Castle Coloring Page; Chibi Hydra Castle Pet; Chibi Midieval Fantasy Castle","buildings; chibi; easy","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Chibi Castles printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"chibi-houses","Chibi Houses Coloring Pages","6","Chibi Holiday Halloween Haunted House Coloring Page; Chibi Holiday Halloween Haunted House On Hill Coloring Page; Chibi Holiday Halloween Haunted House On Hill Under Full Moon Coloring Page; Chibi Holiday Halloween Haunted House On Stilts In Swamp Coloring Page; Chibi Holiday Halloween Haunted House With Bats Flying Around Coloring Page; Chibi Holiday Halloween Haunted House With Broken Fence Coloring Page","buildings; chibi; easy","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Chibi Houses printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"chibi-tigers","Chibi Tigers Coloring Pages","6","Chibi Megalodon Tiger Shark; Chibi Plushie Prehistoric Saber Toothed Tiger; Chibi Plushie Tiger; Chibi Saber Toothed Tiger; Chibi Tiger; Chibi Wooly Tiger Mammoth","animals; chibi; easy; for-kids","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Chibi Tigers printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"chibi-wizards","Chibi Wizards Coloring Pages","6","Chibi Dark Wizard; Chibi Dungeon Wizard And Magic Book; Chibi Dungeon Wizard Casting Spell; Chibi Dungeon Wizard Tower Room; Chibi Midieval Fantasy Sorcerer; Chibi Midieval Fantasy Wizard","fantasy; chibi; easy; for-kids","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Chibi Wizards printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"princesses","Princesses Coloring Pages","7","Chibi Midieval Fantasy Princess; Fantasy Mermaid Princess Coral Throne; Holiday Birthday Princess Birthday Party; Indoor Plants Philodendron Pink Princess; Indoor Plants Philodendron White Princess; Midieval Fantasy Princess Tower; Midieval Fantasy Princess","fantasy","Below theme minimum of 8 assets but above absolute minimum.","existing:0.571; comparable:0","Princess coloring pages for character and fantasy themes.","below normal asset threshold","",""
"cactus","Cactus Coloring Pages","6","Indoor Plants Christmas Cactus; Indoor Plants Coral Cactus; Indoor Plants Easter Cactus; Indoor Plants Thanksgiving Cactus; Reptiles Desert Iguana On A Cactus; Reptiles Desert Iguana On Cactus","plants; indoor-plants","Below object minimum of 8 assets but above absolute minimum.","existing:0.667; comparable:0","Cactus coloring pages for plant browsing.","below normal asset threshold","",""
