route,content_tier,editorial_fields_present,inventory_evidence_used,counts_live,claims_require_external_verification,review_status,remaining_concern
/coloring-pages/detailed-for-adults,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/dinosaurs,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/diplodocus,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/dogs,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/dolphins,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/dragons,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/ducks,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/dungeon,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/eagles,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/easy,D,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,consolidated,Independent audience/difficulty classification signal is still absent.
/coloring-pages/elephants,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/fairies,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/fantasy,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/fantasy-creatures,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/fantasy-dragons,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/fish,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/flowers,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/food,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/for-kids,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,Independent audience/difficulty classification signal is still absent.
/coloring-pages/forest,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/foxes,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/garden,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/garden-flowers,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/geometric,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/geometric-dogs,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/giraffes,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/griffins,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/halloween,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/hedgehogs,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/hippos,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/holidays,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/horses,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/houses,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/hydras,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/indoor-plants,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/insects,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/kawaii,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/knights,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/koalas,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/lions,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/lizards,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/llamas,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/mammoths,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/mandalas,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/medieval-fantasy,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/megalodon,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/mermaids,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/monkeys,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/moose,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/mushrooms,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/mythology,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/ocean,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/octopus,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/otters,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/owls,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/pandas,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/pegasus,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/penguins,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/phoenix,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/planes,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plants,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/playing-cards,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushie-animals,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushie-cats,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushie-dogs,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushie-dragons,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushie-triceratops,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushie-unicorns,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushie-whales,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plushies,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/prehistoric-animals,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/pumpkins,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/rabbits,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/reindeer,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/reptiles,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/robots,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/roses,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/santa,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/sea-life,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/sharks,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/sheep,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/sloths,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/snakes,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/spiders,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/st-patricks-day,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/stegosaurus,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/sushi,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/t-rex,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/tigers,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/trains,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/trees,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/triceratops,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/turtles,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/unicorns,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/vehicles,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/velociraptors,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/whales,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/witches,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/wizards,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/wolves,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/world-landmarks,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/wyverns,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/zebras,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/dodo,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/bamboo,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/steam-train,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/birthday-celebration,D,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,consolidated,
/coloring-pages/christmas-plushie,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/halloween-costume,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/summoning,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/terrier,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/woolly-mammoth,D,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,consolidated,
/coloring-pages/saber-toothed-tiger,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/magic,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/ankylosaurus,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/trick-or-treat,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/lily,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/forget-me-not,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/mosasaurus,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/plesiosaurus,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/pterodactyl,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/iguanodon,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/bulldog,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/collie,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/cookie,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/daisy,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/pteranodon,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/nigiri,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/orchid,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/poppy,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/lotus,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/palm,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/leprechaun,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/salmon,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/gingerbread,C,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
