route,current_purpose,previous_parent,current_inventory,overlap_evidence,audit_recommendation,final_action,final_parent,final_inventory,final_indexability,final_sitemap_status,canonical_behavior,internal_link_changes,content_treatment,rationale
/coloring-pages/buildings,"Houses, castles, landmark structures, bridges, and other built places form this architecture-led collection.",hub_coloring_pages,156,,retain and index,retain and index,/coloring-pages,156,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/butterflies,"Butterflies appear with varied wing patterns, flowers, garden settings, and close symmetrical views.",hub_insects,26,,retain and index,retain and index,/coloring-pages/insects,26,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 7.7% of members contain a route-subject token
/coloring-pages/cakes,"Layer cakes, slices, candles, frosting decorations, and celebration cakes fill this focused food collection.",hub_food,21,,retain and index,retain and index,/coloring-pages/food,21,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 4.8% of members contain a route-subject token
/coloring-pages/cars,"Cars range from everyday road vehicles to racing, classic, futuristic, and character-styled designs.",hub_vehicles,193,,retain and index,retain and index,/coloring-pages/vehicles,193,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 94.3% of members contain a route-subject token
/coloring-pages/castles,"Castle towers, gates, walls, courtyards, and fantasy or historic-looking settings shape this collection.",hub_buildings,25,,retain and index,retain and index,/coloring-pages/buildings,25,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/cats,"Cats and kittens appear in resting, playful, portrait, household, and decorative scenes.",hub_animals,55,,retain and index,retain and index,/coloring-pages/animals,55,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 7.3% of members contain a route-subject token
/coloring-pages/chess,"Chess pieces, boards, matches, and symbolic king-and-queen compositions define this game collection.",hub_playing_cards,23,,retain and index,retain and index,/coloring-pages/playing-cards,23,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/chibi,"Characters and creatures use compact bodies, large heads, and simplified chibi-style proportions.",hub_easy,908,,retain and index,retain and index,/coloring-pages/easy,908,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/chibi-dogs,Dog breeds and puppies are redrawn with compact chibi proportions and expressive faces.,hub_animals,79,,retain and index,retain and index,/coloring-pages/animals,79,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/chibi-flowers,"Flowers and floral arrangements use rounded, simplified forms and character-like chibi styling.",hub_plants,152,,retain and index,retain and index,/coloring-pages/plants,152,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/christmas,"Santa, reindeer, trees, ornaments, gifts, winter scenes, and festive characters fill the Christmas collection.",hub_holidays,332,,retain and index,retain and index,/coloring-pages/holidays,332,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/christmas-dogs,"Dogs appear with Santa hats, gifts, decorated trees, winter clothing, and other Christmas details.",hub_animals,36,,retain and index,retain and index,/coloring-pages/animals,36,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/cows,"Cows appear in pasture views, farm scenes, portraits, and friendly stylized poses.",hub_animals,14,,retain and index,retain and index,/coloring-pages/animals,14,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/crabs,"Crabs are shown on beaches, underwater, in close shell views, and as playful sea characters.",hub_sea_life,21,,retain and index,retain and index,/coloring-pages/sea-life,21,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/cute,"Rounded animals, friendly objects, expressive food, and gentle character designs share a deliberately cute treatment.",hub_easy,375,,retain and index,retain and index,/coloring-pages/easy,375,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 7.5% of members contain a route-subject token
/coloring-pages/deer,"Deer appear as woodland animals, antlered portraits, family groups, and quiet forest scenes.",hub_animals,15,,retain and index,retain and index,/coloring-pages/animals,15,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/detailed-for-adults,"Dense line work, decorative scenes, patterned animals, floral arrangements, and intricate objects make up this detailed collection.",hub_mandalas,1459,"Previously identical to Mandalas and 99.86% similar to Geometric; remains the broad 1,459-record source category.",retain and index,retain and index,/coloring-pages,1459,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,"Corrected membership now represents a distinct, evidence-backed browsing intent."
/coloring-pages/dinosaurs,"Recognizable dinosaur genera appear in portraits, action poses, family groups, and prehistoric scenes.",hub_prehistoric_animals,189,189/220 contained in Prehistoric Animals; legitimate dinosaur-only subset.,retain and index,retain and index,/coloring-pages/prehistoric-animals,189,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,The inventory is the dinosaur subset of the broader Prehistoric Animals hub.
/coloring-pages/diplodocus,"Diplodocus designs emphasize the long tail and neck in standing, walking, and scenic herd poses.",hub_dinosaurs,16,,retain and index,retain and index,/coloring-pages/dinosaurs,16,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/dogs,"Dog designs cover many breeds, puppies, portraits, active poses, and stylized or seasonal scenes.",hub_animals,284,,retain and index,retain and index,/coloring-pages/animals,284,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 92.3% of members contain a route-subject token
/coloring-pages/dolphins,"Dolphins leap, swim in groups, surface near waves, and appear in underwater scenes.",hub_sea_life,14,,retain and index,retain and index,/coloring-pages/sea-life,14,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 7.1% of members contain a route-subject token
/coloring-pages/dragons,"Dragons range from winged and serpentine creatures to armored, elemental, and story-like fantasy scenes.",hub_fantasy,259,,retain and index,retain and index,/coloring-pages/fantasy,259,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 3.1% of members contain a route-subject token
/coloring-pages/ducks,"Ducks and ducklings appear swimming, standing, nesting, and moving through pond settings.",hub_birds,19,,retain and index,retain and index,/coloring-pages/birds,19,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 5.3% of members contain a route-subject token
/coloring-pages/dungeon,"Stone corridors, chambers, gates, treasure, traps, and fantasy adventurers define these dungeon scenes.",hub_coloring_pages,99,,retain and index,retain and index,/coloring-pages,99,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/eagles,"Eagles appear in flight, perched with spread wings, in close portraits, and over landscapes.",hub_birds,22,,retain and index,retain and index,/coloring-pages/birds,22,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 4.5% of members contain a route-subject token
/coloring-pages/easy,"The current Easy inventory emphasizes simplified character and animal designs with broad, readable shapes.",hub_for_kids,1300,"1,300/1,335 with Kids; Jaccard 0.973783; Easy contributes no unique records.",manual editorial review,retain current safe state pending manual classification evidence,/coloring-pages/for-kids,1300,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; manual-review-retained,"The route has a distinct difficulty intent, but current metadata does not provide an independent difficulty signal; destructive membership or indexation changes remain deferred."
/coloring-pages/elephants,"Elephants appear alone, in family groups, walking through landscapes, and in decorative portrait treatments.",hub_animals,17,,retain and index,retain and index,/coloring-pages/animals,17,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 11.8% of members contain a route-subject token
/coloring-pages/fairies,"Winged fairy characters appear in gardens, forests, floral scenes, and other magical settings.",hub_fantasy_creatures,37,,retain and index,retain and index,/coloring-pages/fantasy-creatures,37,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 8.1% of members contain a route-subject token
/coloring-pages/fantasy,"Dragons, magic, mythology, dungeons, wizards, creatures, and imagined worlds form the broad fantasy collection.",hub_coloring_pages,1265,,retain and index,retain and index,/coloring-pages,1265,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,direct filename/title evidence: 57.6% of members contain a route-subject token
/coloring-pages/fantasy-creatures,"Fairies, griffins, mermaids, pegasus, unicorns, dragons, and other imagined beings share this creature-focused hub.",hub_fantasy,531,,retain and index,retain and index,/coloring-pages/fantasy,531,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 39.0% of members contain a route-subject token
/coloring-pages/fantasy-dragons,"These dragons appear in explicitly fantastic settings, magical scenes, and imaginative creature designs.",hub_fantasy_creatures,49,,retain and index,retain and index,/coloring-pages/fantasy-creatures,49,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/fish,"Fish designs include single swimmers, schools, reef settings, patterned bodies, and close aquatic views.",hub_sea_life,16,,retain and index,retain and index,/coloring-pages/sea-life,16,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/flowers,"Named flowers, bouquets, garden arrangements, floral patterns, and stylized blossoms make up this plant collection.",hub_plants,346,,retain and index,retain and index,/coloring-pages/plants,346,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,direct filename/title evidence: 92.5% of members contain a route-subject token
/coloring-pages/food,"Baked goods, sushi, cakes, snacks, ingredients, drinks, and character-styled dishes form this food collection.",hub_coloring_pages,261,,retain and index,retain and index,/coloring-pages,261,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,weak filename/title evidence: 1.9% of members contain a route-subject token
/coloring-pages/for-kids,Friendly animals and character-led designs make up the current child-audience collection.,hub_coloring_pages,1335,"1,335/1,300 with Easy; 35 unique kitten and puppy records; independent audience/difficulty evidence remains incomplete.",manual editorial review,retain current safe state pending manual classification evidence,/coloring-pages,1335,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; manual-review-retained,"The audience route remains useful, but the present inventory is almost identical to Easy and needs future editorial classification evidence."
/coloring-pages/forest,"Trees, woodland animals, paths, cabins, plants, and layered natural scenes define the forest inventory.",hub_coloring_pages,72,,retain and index,retain and index,/coloring-pages,72,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/foxes,"Foxes appear standing, curled, running, in family groups, and within woodland scenes.",hub_animals,40,,retain and index,retain and index,/coloring-pages/animals,40,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 10.0% of members contain a route-subject token
/coloring-pages/garden,"Garden beds, flowers, tools, paths, insects, plants, and outdoor arrangements share this setting-focused collection.",hub_coloring_pages,195,,retain and index,retain and index,/coloring-pages,195,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 53.8% of members contain a route-subject token
/coloring-pages/garden-flowers,"Flower beds, mixed blooms, pots, borders, and outdoor floral arrangements define the garden-flower subset.",hub_plants,95,,retain and index,retain and index,/coloring-pages/plants,95,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/geometric,"Explicit patterns, abstract arrangements, kaleidoscopes, fractals, spirals, and geometric mandalas form this corrected inventory.",hub_detailed_for_adults,1457,"Previously 1,457/1,459 with 99.86% Jaccard; corrected to 55 records with explicit pattern or geometry evidence.",retain and index,retain and index,/coloring-pages/detailed-for-adults,55,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,"Corrected membership now represents a distinct, evidence-backed browsing intent."
/coloring-pages/geometric-dogs,"Dog portraits and silhouettes are built from repeated shapes, facets, lines, and decorative patterns.",hub_animals,85,,retain and index,retain and index,/coloring-pages/animals,85,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 95.3% of members contain a route-subject token
/coloring-pages/giraffes,"Giraffes appear in tall standing poses, family scenes, close portraits, and savanna settings.",hub_animals,19,,retain and index,retain and index,/coloring-pages/animals,19,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 5.3% of members contain a route-subject token
/coloring-pages/griffins,"Griffins combine eagle and lion features in heraldic poses, flight scenes, and fantasy settings.",hub_fantasy_creatures,21,,retain and index,retain and index,/coloring-pages/fantasy-creatures,21,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/halloween,"Costumes, pumpkins, witches, spooky characters, trick-or-treat scenes, and decorated settings fill this Halloween hub.",hub_holidays,305,,retain and index,retain and index,/coloring-pages/holidays,305,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/hedgehogs,"Hedgehogs appear curled, walking, holding small objects, and exploring garden or woodland scenes.",hub_animals,15,,retain and index,retain and index,/coloring-pages/animals,15,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 6.7% of members contain a route-subject token
/coloring-pages/hippos,"Hippos appear in water, on riverbanks, in family groups, and as rounded character designs.",hub_animals,16,,retain and index,retain and index,/coloring-pages/animals,16,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 6.3% of members contain a route-subject token
/coloring-pages/holidays,"Christmas, Halloween, birthdays, St. Patrick's Day, and other celebration-led designs meet in this seasonal hub.",hub_coloring_pages,874,,retain and index,retain and index,/coloring-pages,874,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/horses,"Horses appear running, standing, in portraits, with riders, and across open landscape scenes.",hub_animals,16,,retain and index,retain and index,/coloring-pages/animals,16,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 12.5% of members contain a route-subject token
/coloring-pages/houses,"Homes range from cottages and town houses to stylized dwellings, exterior views, and neighborhood scenes.",hub_buildings,54,,retain and index,retain and index,/coloring-pages/buildings,54,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 1.9% of members contain a route-subject token
/coloring-pages/hydras,"Multi-headed hydras appear in battle poses, mythic scenes, and detailed creature portraits.",hub_fantasy,15,,retain and index,retain and index,/coloring-pages/fantasy,15,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/indoor-plants,"Potted foliage, bamboo, palms, shelves, planters, and room-based plant arrangements define this indoor collection.",hub_plants,128,,retain and index,retain and index,/coloring-pages/plants,128,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/insects,"Bees, beetles, butterflies, spiders, and other small creatures appear in close views and nature settings.",hub_animals,179,,retain and index,retain and index,/coloring-pages/animals,179,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 77.1% of members contain a route-subject token
/coloring-pages/kawaii,"Small animals, food, and objects use rounded forms, simple details, and expressive kawaii faces.",hub_easy,88,,retain and index,retain and index,/coloring-pages/easy,88,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/knights,"Armored knights appear with shields, swords, horses, castles, and medieval-fantasy settings.",hub_medieval_fantasy,39,,retain and index,retain and index,/coloring-pages/medieval-fantasy,39,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 7.7% of members contain a route-subject token
/coloring-pages/koalas,"Koalas appear climbing, resting in eucalyptus trees, in family groups, and as friendly characters.",hub_animals,22,,retain and index,retain and index,/coloring-pages/animals,22,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 4.5% of members contain a route-subject token
/coloring-pages/lions,"Lions appear in portraits, prides, walking poses, savanna scenes, and decorative mane studies.",hub_animals,32,,retain and index,retain and index,/coloring-pages/animals,32,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 18.8% of members contain a route-subject token
/coloring-pages/lizards,"Lizards appear on rocks and branches, in close body studies, and with varied scales and tails.",hub_reptiles,32,,retain and index,retain and index,/coloring-pages/reptiles,32,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 3.1% of members contain a route-subject token
/coloring-pages/llamas,"Llamas appear standing, in mountain settings, wearing decorations, and as playful character designs.",hub_animals,15,,retain and index,retain and index,/coloring-pages/animals,15,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 6.7% of members contain a route-subject token
/coloring-pages/mammoths,"Mammoths appear with curved tusks, shaggy coats, herd scenes, and icy prehistoric settings.",hub_prehistoric_animals,20,20 records; contains all 19 Woolly Mammoth records and contributes one additional record.,retain and index,retain and index,/coloring-pages/prehistoric-animals,20,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/mandalas,"The corrected mandala collection contains explicitly identified radial, floral, geometric, and Celtic-knot mandala designs.",hub_detailed_for_adults,1459,"Previously 1,459/1,459 exact; corrected to 23 explicit mandala records.",retain and index,retain and index,/coloring-pages/detailed-for-adults,23,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,"Corrected membership now represents a distinct, evidence-backed browsing intent."
/coloring-pages/medieval-fantasy,"Knights, castles, armor, banners, creatures, and imagined old-world scenes define medieval fantasy here.",hub_fantasy,194,,retain and index,retain and index,/coloring-pages/fantasy,194,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/megalodon,"Megalodon designs show the extinct shark in open water, near other sea life, and in dramatic close views.",hub_prehistoric_animals,16,,retain and index,retain and index,/coloring-pages/prehistoric-animals,16,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/mermaids,"Mermaid characters appear underwater, near reefs and shells, with sea creatures, and in decorative portraits.",hub_fantasy_creatures,26,,retain and index,retain and index,/coloring-pages/fantasy-creatures,26,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/monkeys,"Monkeys appear climbing, swinging, sitting in groups, and moving through jungle or forest scenes.",hub_animals,14,,retain and index,retain and index,/coloring-pages/animals,14,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 7.1% of members contain a route-subject token
/coloring-pages/moose,"Moose appear with broad antlers, in forest and lakeside settings, and in calm standing poses.",hub_animals,18,,retain and index,retain and index,/coloring-pages/animals,18,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/mushrooms,"Single mushrooms, clusters, forest-floor scenes, patterned caps, and fantasy fungi form this plant-adjacent collection.",hub_plants,218,,retain and index,retain and index,/coloring-pages/plants,218,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 2.8% of members contain a route-subject token
/coloring-pages/mythology,"Mythic figures and creatures draw from gods, heroes, monsters, symbols, and legendary scenes.",hub_fantasy,227,,retain and index,retain and index,/coloring-pages/fantasy,227,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/ocean,"Waves, reefs, shorelines, underwater landscapes, vessels, and marine life share an ocean setting.",hub_coloring_pages,154,,retain and index,retain and index,/coloring-pages,154,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 6.5% of members contain a route-subject token
/coloring-pages/octopus,"Octopuses appear swimming, resting on the seabed, curling their arms, and exploring reef scenes.",hub_sea_life,20,,retain and index,retain and index,/coloring-pages/sea-life,20,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/otters,"Otters swim, float, hold objects, gather in pairs, and appear along rivers or coasts.",hub_animals,21,,retain and index,retain and index,/coloring-pages/animals,21,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
/coloring-pages/owls,"Owls appear perched, flying, in close facial studies, and among woodland branches.",hub_birds,28,,retain and index,retain and index,/coloring-pages/birds,28,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 10.7% of members contain a route-subject token
/coloring-pages/pandas,"Pandas appear eating bamboo, climbing, sitting, in family groups, and as rounded characters.",hub_animals,30,,retain and index,retain and index,/coloring-pages/animals,30,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 6.7% of members contain a route-subject token
/coloring-pages/pegasus,"Winged horses appear in flight, among clouds, in magical landscapes, and in decorative portraits.",hub_fantasy_creatures,29,,retain and index,retain and index,/coloring-pages/fantasy-creatures,29,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/penguins,"Penguins appear on ice, swimming, in family groups, and in winter character scenes.",hub_birds,20,,retain and index,retain and index,/coloring-pages/birds,20,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 15.0% of members contain a route-subject token
/coloring-pages/phoenix,"Phoenix designs emphasize sweeping wings, flame-like feathers, flight, and dramatic fantasy compositions.",hub_fantasy,18,,retain and index,retain and index,/coloring-pages/fantasy,18,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
