internal_identifier,public_title,route,canonical_url,parent_hub,child_hubs,collection_type,current_visible_count,independently_calculated_count,sitemap_count,first_page_result_count,total_unique_printable_ids,indexability,robots_directive,sitemap_inclusion,pagination_state,introduction_text,introduction_length,content_template_fingerprint,fingerprint_occurrences,repeated_headings,repeated_instructional_blocks,related_collection_sections,representative_image,representative_belongs_to_collection,distinct_narrower_subcollections,meaningful_internal_links,distinct_user_intent_evidence,suspicious_internal_or_production_wording,missing_or_inaccurate_description,count_inconsistency,preliminary_recommendation,recommendation_reason
hub_brachiosaurus,Brachiosaurus Coloring Pages,/coloring-pages/brachiosaurus,https://www.ilovecoloringpage.com/coloring-pages/brachiosaurus,hub_dinosaurs,,subject,15,15,1,15,15,index,"index,follow",true,single page,"Long-necked Brachiosaurus designs show standing, walking, feeding, and scenic prehistoric poses.",96,3baccf29,1,,0,1,plushie__plushie-prehistoric-brachiosaurus__35dc7192a9,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_bridges,Bridges Coloring Pages,/coloring-pages/bridges,https://www.ilovecoloringpage.com/coloring-pages/bridges,hub_buildings,,subject,23,23,1,23,23,index,"index,follow",true,single page,"Bridge designs focus on recognizable spans, structural forms, crossings, and surrounding city or landscape views.",113,cdf7801b,1,,0,1,chibi__chibi-dungeon-adventure-bridge-over-lava__906729f5e5,true,0,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_buildings,Buildings Coloring Pages,/coloring-pages/buildings,https://www.ilovecoloringpage.com/coloring-pages/buildings,hub_coloring_pages,hub_bridges|hub_castles|hub_houses|hub_world_landmarks,subject parent,156,156,1,48,156,index,"index,follow",true,4 pages,"Houses, castles, landmark structures, bridges, and other built places form this architecture-led collection.",108,f659e84f,1,,0,1,anime-girls__anime-girl-journaling-at-home__4243797a12,true,4,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_butterflies,Butterflies Coloring Pages,/coloring-pages/butterflies,https://www.ilovecoloringpage.com/coloring-pages/butterflies,hub_insects,,subject,26,26,1,26,26,index,"index,follow",true,single page,"Butterflies appear with varied wing patterns, flowers, garden settings, and close symmetrical views.",100,82eec673,1,,0,1,animals__animals-butterflies__016ffbb0de,true,0,7,weak filename/title evidence: 7.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 7.7% of members contain a route-subject token
hub_cakes,Cakes Coloring Pages,/coloring-pages/cakes,https://www.ilovecoloringpage.com/coloring-pages/cakes,hub_food,,subject,21,21,1,21,21,index,"index,follow",true,single page,"Layer cakes, slices, candles, frosting decorations, and celebration cakes fill this focused food collection.",108,14322a51,1,,0,1,mandala-geometry-patterns__mandala-geometry-patterns-bakery-vanilla-cupcakes__803a7220cc,true,0,5,weak filename/title evidence: 4.8% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 4.8% of members contain a route-subject token
hub_cars,Cars Coloring Pages,/coloring-pages/cars,https://www.ilovecoloringpage.com/coloring-pages/cars,hub_vehicles,,subject,193,193,1,48,193,index,"index,follow",true,5 pages,"Cars range from everyday road vehicles to racing, classic, futuristic, and character-styled designs.",100,a27b034d,1,,0,1,anime-girls__anime-girl-driving-race-car-driving__07de9e75de,true,0,7,direct filename/title evidence: 94.3% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 94.3% of members contain a route-subject token
hub_castles,Castles Coloring Pages,/coloring-pages/castles,https://www.ilovecoloringpage.com/coloring-pages/castles,hub_buildings,,subject,25,25,1,25,25,index,"index,follow",true,single page,"Castle towers, gates, walls, courtyards, and fantasy or historic-looking settings shape this collection.",104,014d6267,1,,0,1,st-patricks-day__st-patricks-day-irish-castle-on-hilltop-coloring-page__862176e869,true,0,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_cats,Cats Coloring Pages,/coloring-pages/cats,https://www.ilovecoloringpage.com/coloring-pages/cats,hub_animals,,subject,55,55,1,48,55,index,"index,follow",true,2 pages,"Cats and kittens appear in resting, playful, portrait, household, and decorative scenes.",88,103d9611,1,,0,1,anime-girls__anime-girl-cat-hoodie-plushie__62ed67bd39,true,0,6,weak filename/title evidence: 7.3% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 7.3% of members contain a route-subject token
hub_chess,Chess Coloring Pages,/coloring-pages/chess,https://www.ilovecoloringpage.com/coloring-pages/chess,hub_playing_cards,,subject,23,23,1,23,23,index,"index,follow",true,single page,"Chess pieces, boards, matches, and symbolic king-and-queen compositions define this game collection.",100,2d6f3bfd,1,,0,1,anime-girls__anime-girl-chess__50e94b303e,true,0,5,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_chibi,Chibi Coloring Pages,/coloring-pages/chibi,https://www.ilovecoloringpage.com/coloring-pages/chibi,hub_easy,,style,908,908,1,48,908,index,"index,follow",true,19 pages,"Characters and creatures use compact bodies, large heads, and simplified chibi-style proportions.",97,526c0eae,1,,0,1,anime-girls__anime-girl-chibi-bear-summon__443fa88c61,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_chibi_dogs,Chibi Dogs Coloring Pages,/coloring-pages/chibi-dogs,https://www.ilovecoloringpage.com/coloring-pages/chibi-dogs,hub_animals,,style,79,79,1,48,79,index,"index,follow",true,2 pages,Dog breeds and puppies are redrawn with compact chibi proportions and expressive faces.,87,286739f5,1,,0,1,chibi__chibi-animals-pets-dogs-afghan-hound__d9a83b6ec9,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_chibi_flowers,Chibi Flowers Coloring Pages,/coloring-pages/chibi-flowers,https://www.ilovecoloringpage.com/coloring-pages/chibi-flowers,hub_plants,,style,152,152,1,48,152,index,"index,follow",true,4 pages,"Flowers and floral arrangements use rounded, simplified forms and character-like chibi styling.",95,76af7d6e,1,,0,1,chibi__chibi-enchanted-forest-fairy-dancing-in-flower-ring__c4cb5961c2,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_christmas,Christmas Coloring Pages,/coloring-pages/christmas,https://www.ilovecoloringpage.com/coloring-pages/christmas,hub_holidays,hub_reindeer|hub_santa|hub_christmas_plushie,season or occasion,332,332,1,48,332,index,"index,follow",true,7 pages,"Santa, reindeer, trees, ornaments, gifts, winter scenes, and festive characters fill the Christmas collection.",110,4239aeb6,1,,0,1,christmas__christmas-holiday-advent-calendar__a1245c4617,true,3,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_christmas_dogs,Christmas Dogs Coloring Pages,/coloring-pages/christmas-dogs,https://www.ilovecoloringpage.com/coloring-pages/christmas-dogs,hub_animals,,season or occasion,36,36,1,36,36,index,"index,follow",true,single page,"Dogs appear with Santa hats, gifts, decorated trees, winter clothing, and other Christmas details.",98,88c8e046,1,,0,1,christmas__holiday-christmas-dogs-german-shepherd__5779fc20a7,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_cows,Cows Coloring Pages,/coloring-pages/cows,https://www.ilovecoloringpage.com/coloring-pages/cows,hub_animals,,subject,14,14,1,14,14,index,"index,follow",true,single page,"Cows appear in pasture views, farm scenes, portraits, and friendly stylized poses.",82,2b8bc85a,1,,0,1,plushie__plushie-cow__fc41be5b71,true,0,6,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_crabs,Crabs Coloring Pages,/coloring-pages/crabs,https://www.ilovecoloringpage.com/coloring-pages/crabs,hub_sea_life,,subject,21,21,1,21,21,index,"index,follow",true,single page,"Crabs are shown on beaches, underwater, in close shell views, and as playful sea characters.",92,765f9239,1,,0,1,chibi__chibi-plushie-crab__0a927497b6,true,0,7,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 0.0% of members contain a route-subject token
hub_cute,Cute Coloring Pages,/coloring-pages/cute,https://www.ilovecoloringpage.com/coloring-pages/cute,hub_easy,,subject,375,375,1,48,375,index,"index,follow",true,8 pages,"Rounded animals, friendly objects, expressive food, and gentle character designs share a deliberately cute treatment.",117,615a54a7,1,,0,1,anime-girls__anime-girl-cute-teddy-bear-plushie__9e3171aa9b,true,0,8,weak filename/title evidence: 7.5% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 7.5% of members contain a route-subject token
hub_deer,Deer Coloring Pages,/coloring-pages/deer,https://www.ilovecoloringpage.com/coloring-pages/deer,hub_animals,,subject,15,15,1,15,15,index,"index,follow",true,single page,"Deer appear as woodland animals, antlered portraits, family groups, and quiet forest scenes.",92,f414c02f,1,,0,1,christmas__holiday-christmas-animals-deer__1ad8990dcd,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_detailed_for_adults,Detailed Coloring Pages for Adults,/coloring-pages/detailed-for-adults,https://www.ilovecoloringpage.com/coloring-pages/detailed-for-adults,hub_coloring_pages,hub_geometric|hub_mandalas,audience or difficulty,1459,1459,1,48,1459,index,"index,follow",true,31 pages,"Dense line work, decorative scenes, patterned animals, floral arrangements, and intricate objects make up this detailed collection.",131,95d4b0c5,1,,0,1,mandala__mandala-geometry-patterns-animal-mandala-fox__3e8e80a2fd,true,2,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain and index,"Corrected membership now represents a distinct, evidence-backed browsing intent."
hub_dinosaurs,Dinosaurs Coloring Pages,/coloring-pages/dinosaurs,https://www.ilovecoloringpage.com/coloring-pages/dinosaurs,hub_prehistoric_animals,hub_brachiosaurus|hub_diplodocus|hub_plushie_triceratops|hub_stegosaurus|hub_t_rex|hub_triceratops|hub_velociraptors|hub_woolly_mammoth|hub_saber_toothed_tiger|hub_ankylosaurus|hub_mosasaurus|hub_plesiosaurus|hub_pterodactyl|hub_iguanodon|hub_pteranodon,subject parent,189,189,1,48,189,index,"index,follow",true,4 pages,"Recognizable dinosaur genera appear in portraits, action poses, family groups, and prehistoric scenes.",102,7e7dd88d,1,,0,1,anime-girls__anime-girl-brachiosaurus-hoodie-plushie__73442e8b67,true,15,16,weak filename/title evidence: 0.5% of members contain a route-subject token,,false,false,retain and index,The inventory is the dinosaur subset of the broader Prehistoric Animals hub.
hub_diplodocus,Diplodocus Coloring Pages,/coloring-pages/diplodocus,https://www.ilovecoloringpage.com/coloring-pages/diplodocus,hub_dinosaurs,,subject,16,16,1,16,16,index,"index,follow",true,single page,"Diplodocus designs emphasize the long tail and neck in standing, walking, and scenic herd poses.",96,1cafd2c8,1,,0,1,dinosaurs__prehistoric-diplodocus__9808941cbd,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_dogs,Dogs Coloring Pages,/coloring-pages/dogs,https://www.ilovecoloringpage.com/coloring-pages/dogs,hub_animals,hub_terrier|hub_bulldog|hub_collie,subject parent,284,284,1,48,284,index,"index,follow",true,6 pages,"Dog designs cover many breeds, puppies, portraits, active poses, and stylized or seasonal scenes.",97,a73c2510,1,,0,1,animals__animals-dog__18819a83c1,true,3,8,direct filename/title evidence: 92.3% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 92.3% of members contain a route-subject token
hub_dolphins,Dolphins Coloring Pages,/coloring-pages/dolphins,https://www.ilovecoloringpage.com/coloring-pages/dolphins,hub_sea_life,,subject,14,14,1,14,14,index,"index,follow",true,single page,"Dolphins leap, swim in groups, surface near waves, and appear in underwater scenes.",83,b52715e2,1,,0,1,animals__animals-dolphins__06e09058c7,true,0,5,weak filename/title evidence: 7.1% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 7.1% of members contain a route-subject token
hub_dragons,Dragons Coloring Pages,/coloring-pages/dragons,https://www.ilovecoloringpage.com/coloring-pages/dragons,hub_fantasy,,subject,259,259,1,48,259,index,"index,follow",true,6 pages,"Dragons range from winged and serpentine creatures to armored, elemental, and story-like fantasy scenes.",104,e51f3e99,1,,0,1,christmas__holiday-christmas-animals-dragons__b1e9ada7ea,true,0,8,weak filename/title evidence: 3.1% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 3.1% of members contain a route-subject token
hub_ducks,Ducks Coloring Pages,/coloring-pages/ducks,https://www.ilovecoloringpage.com/coloring-pages/ducks,hub_birds,,subject,19,19,1,19,19,index,"index,follow",true,single page,"Ducks and ducklings appear swimming, standing, nesting, and moving through pond settings.",89,a4017248,1,,0,1,birds__birds-ducks__1dbebbc6d6,true,0,5,weak filename/title evidence: 5.3% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 5.3% of members contain a route-subject token
hub_dungeon,Dungeon Coloring Pages,/coloring-pages/dungeon,https://www.ilovecoloringpage.com/coloring-pages/dungeon,hub_coloring_pages,,subject,99,99,1,48,99,index,"index,follow",true,3 pages,"Stone corridors, chambers, gates, treasure, traps, and fantasy adventurers define these dungeon scenes.",103,cdeec61c,1,,0,1,chibi__chibi-dungeon-adventure-bridge-over-lava__906729f5e5,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_eagles,Eagles Coloring Pages,/coloring-pages/eagles,https://www.ilovecoloringpage.com/coloring-pages/eagles,hub_birds,,subject,22,22,1,22,22,index,"index,follow",true,single page,"Eagles appear in flight, perched with spread wings, in close portraits, and over landscapes.",92,089ec077,1,,0,1,animals__animals-eagles__9c48219eed,true,0,5,weak filename/title evidence: 4.5% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 4.5% of members contain a route-subject token
hub_easy,Easy Coloring Pages,/coloring-pages/easy,https://www.ilovecoloringpage.com/coloring-pages/easy,hub_for_kids,hub_chibi|hub_cute|hub_kawaii,audience or difficulty,1300,1300,0,48,1300,noindex,"noindex,follow",false,28 pages,This collection gathers printable pages under the existing Easy label.,70,515dda0e,1,,0,1,anime-girls__anime-girl-chibi-bear-summon__443fa88c61,true,3,8,weak filename/title evidence: 0.0% of members contain a route-subject token,,false,false,retain publicly but noindex,"The route remains public and self-canonical, but its legacy membership has no independently reviewed visual-complexity field and is wholly contained in For Kids."
hub_elephants,Elephants Coloring Pages,/coloring-pages/elephants,https://www.ilovecoloringpage.com/coloring-pages/elephants,hub_animals,,subject,17,17,1,17,17,index,"index,follow",true,single page,"Elephants appear alone, in family groups, walking through landscapes, and in decorative portrait treatments.",108,ad0ef58e,1,,0,1,animals__animals-elephants__44cfe62b98,true,0,5,weak filename/title evidence: 11.8% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 11.8% of members contain a route-subject token
hub_fairies,Fairies Coloring Pages,/coloring-pages/fairies,https://www.ilovecoloringpage.com/coloring-pages/fairies,hub_fantasy_creatures,,subject,37,37,1,37,37,index,"index,follow",true,single page,"Winged fairy characters appear in gardens, forests, floral scenes, and other magical settings.",94,63c08962,1,,0,1,anime-girls__anime-girl-summoning-fairy-plushies__0c86dd4c47,true,0,7,weak filename/title evidence: 8.1% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 8.1% of members contain a route-subject token
hub_fantasy,Fantasy Coloring Pages,/coloring-pages/fantasy,https://www.ilovecoloringpage.com/coloring-pages/fantasy,hub_coloring_pages,hub_dragons|hub_fantasy_creatures|hub_hydras|hub_medieval_fantasy|hub_mythology|hub_phoenix|hub_plushie_unicorns|hub_robots|hub_wizards|hub_wyverns|hub_summoning|hub_magic,subject parent,1265,1265,1,48,1265,index,"index,follow",true,27 pages,"Dragons, magic, mythology, dungeons, wizards, creatures, and imagined worlds form the broad fantasy collection.",111,2238f2b9,1,,0,1,anime-girls__anime-girl-centaur-standoff__d462b8fcc6,true,12,13,direct filename/title evidence: 57.6% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 57.6% of members contain a route-subject token
hub_fantasy_creatures,Fantasy Creatures Coloring Pages,/coloring-pages/fantasy-creatures,https://www.ilovecoloringpage.com/coloring-pages/fantasy-creatures,hub_fantasy,hub_fairies|hub_fantasy_dragons|hub_griffins|hub_mermaids|hub_pegasus|hub_plushie_dragons|hub_unicorns,subject parent,531,531,1,48,531,index,"index,follow",true,12 pages,"Fairies, griffins, mermaids, pegasus, unicorns, dragons, and other imagined beings share this creature-focused hub.",115,ab6ae5dd,1,,0,1,anime-girls__anime-girl-centaur-standoff__d462b8fcc6,true,7,8,direct filename/title evidence: 39.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 39.0% of members contain a route-subject token
hub_fantasy_dragons,Fantasy Dragons Coloring Pages,/coloring-pages/fantasy-dragons,https://www.ilovecoloringpage.com/coloring-pages/fantasy-dragons,hub_fantasy_creatures,,subject,49,49,1,48,49,index,"index,follow",true,2 pages,"These dragons appear in explicitly fantastic settings, magical scenes, and imaginative creature designs.",104,edcbfb92,1,,0,1,fantasy__fantasy-angry-volcano-dragon__2d2fb81a98,true,0,2,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_fish,Fish Coloring Pages,/coloring-pages/fish,https://www.ilovecoloringpage.com/coloring-pages/fish,hub_sea_life,,subject,16,16,1,16,16,index,"index,follow",true,single page,"Fish designs include single swimmers, schools, reef settings, patterned bodies, and close aquatic views.",104,1df78839,1,,0,1,sea-life__sea-life-coral-reef-fish__c022c371ac,true,0,6,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_flowers,Flowers Coloring Pages,/coloring-pages/flowers,https://www.ilovecoloringpage.com/coloring-pages/flowers,hub_plants,hub_roses|hub_lily|hub_forget_me_not|hub_daisy|hub_orchid|hub_poppy|hub_lotus,subject parent,346,346,1,48,346,index,"index,follow",true,8 pages,"Named flowers, bouquets, garden arrangements, floral patterns, and stylized blossoms make up this plant collection.",115,66edffe9,1,,0,1,anime-girls__anime-girl-field-of-flowers-nature__401fe52b71,true,7,8,direct filename/title evidence: 92.5% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 92.5% of members contain a route-subject token
hub_food,Food Coloring Pages,/coloring-pages/food,https://www.ilovecoloringpage.com/coloring-pages/food,hub_coloring_pages,hub_bakery|hub_cakes|hub_sushi,subject parent,261,261,1,48,261,index,"index,follow",true,6 pages,"Baked goods, sushi, cakes, snacks, ingredients, drinks, and character-styled dishes form this food collection.",110,1a3903da,1,,0,1,anime-girls__anime-girl-birthday-cake__a75fa3e263,true,3,8,weak filename/title evidence: 1.9% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 1.9% of members contain a route-subject token
hub_for_kids,Coloring Pages for Kids,/coloring-pages/for-kids,https://www.ilovecoloringpage.com/coloring-pages/for-kids,hub_coloring_pages,hub_easy,audience or difficulty,1335,1335,1,48,1335,index,"index,follow",true,28 pages,Animals and character-led designs make up this broad printable collection.,74,d007f66c,1,,0,1,animals__animals-puppies__093b6e6276,true,1,8,weak filename/title evidence: 0.2% of members contain a route-subject token,,false,false,retain and index,"Preserve the established audience route and its 35 unique records without treating its collection assignment as proof of age, safety, or difficulty."
hub_forest,Forest Coloring Pages,/coloring-pages/forest,https://www.ilovecoloringpage.com/coloring-pages/forest,hub_coloring_pages,,subject,72,72,1,48,72,index,"index,follow",true,2 pages,"Trees, woodland animals, paths, cabins, plants, and layered natural scenes define the forest inventory.",103,be3e0de0,1,,0,1,anime-girls__anime-girl-enchanted-forest-ambush__e6f3722767,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_foxes,Foxes Coloring Pages,/coloring-pages/foxes,https://www.ilovecoloringpage.com/coloring-pages/foxes,hub_animals,,subject,40,40,1,40,40,index,"index,follow",true,single page,"Foxes appear standing, curled, running, in family groups, and within woodland scenes.",85,dadfd850,1,,0,1,christmas__holiday-christmas-animals-foxes__a4773e1d23,true,0,8,weak filename/title evidence: 10.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 10.0% of members contain a route-subject token
hub_garden,Garden Coloring Pages,/coloring-pages/garden,https://www.ilovecoloringpage.com/coloring-pages/garden,hub_coloring_pages,,subject,195,195,1,48,195,index,"index,follow",true,5 pages,"Garden beds, flowers, tools, paths, insects, plants, and outdoor arrangements share this setting-focused collection.",116,81cf95b3,1,,0,1,anime-girls__anime-girl-smelling-daisies-in-garden__8e712687ca,true,0,7,direct filename/title evidence: 53.8% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 53.8% of members contain a route-subject token
